Question,Answer
"Compare CO levels between Kochi and Thiruvananthapuram on 10-Jan, 19.",No data available for this date and city.
"Compare PM10 levels between Visakhapatnam and Chennai on 24-Dec, 17.",No data available for this date and city.
"Where was the SO2 level highest on 27-Jun, 17?",The highest SO2 level on 27-Jun-17 was in Jaipur at 9.33.
"Compare NO2 levels between Amaravati and Jorapokhar on 01-Apr, 17.",No data available for this date and city.
"Which city had the highest NO level on 18-Jul, 17?",The highest NO level on 18-Jul-17 was in Lucknow at 16.12.
"Which city had the highest NH3 level on 23-Mar, 16?",The highest NH3 level on 23-Mar-16 was in Bengaluru at 29.53.
"Which city had the highest PM10 level on 03-Nov, 18?",The highest PM10 level on 03-Nov-18 was in Amritsar at 139.29.
"Compare NO2 levels between Shillong and Kolkata on 26-Apr, 18.",No data available for this date and city.
"Compare NH3 levels between Ahmedabad and Amaravati on 03-Mar, 18.",No data available for this date and city.
"Amaravati, NOx, 12-Jun, 20",The NOx level in Amaravati on 12-Jun-20 was 6.69.
"Which city had the highest NH3 level on 15-Jul, 16?",The highest NH3 level on 15-Jul-16 was in Bengaluru at 15.33.
"Which city had the highest NO level on 02-Aug, 16?",The highest NO level on 02-Aug-16 was in Bengaluru at 6.15.
"Where was the NO2 level highest on 08-Apr, 20?",The highest NO2 level on 08-Apr-20 was in Visakhapatnam at 23.46.
"Where was the CO level highest on 28-Nov, 18?",The highest CO level on 28-Nov-18 was in Thiruvananthapuram at 1.74.
"Delhi, PM2.5, 09-Jul, 15",No data available for this date and city.
"Where was the CO level highest on 01-Jan, 19?",The highest CO level on 01-Jan-19 was in Bengaluru at 0.98.
"Where was the PM10 level highest on 01-Jan, 19?",The highest PM10 level on 01-Jan-19 was in Bengaluru at 107.76.
"Which city had the highest NO2 level on 24-Jan, 16?",The highest NO2 level on 24-Jan-16 was in Mumbai at 19.16.
"Which city had the highest CO level on 12-Feb, 20?",The highest CO level on 12-Feb-20 was in Thiruvananthapuram at 1.09.
"Which city had the highest NOx level on 15-Mar, 18?",The highest NOx level on 15-Mar-18 was in Mumbai at 53.56.
"Compare NO2 levels between Ernakulam and Hyderabad on 09-Aug, 18.",No data available for this date and city.
"Where was the NO2 level highest on 15-Feb, 20?",The highest NO2 level on 15-Feb-20 was in Visakhapatnam at 50.22.
"Gurugram, NO2, 29-Apr, 20",The NO2 level in Gurugram on 29-Apr-20 was 13.84.
"Which city had the highest NO level on 06-Jul, 15?",The highest NO level on 06-Jul-15 was in Hyderabad at 17.37.
"Compare NO levels between Kochi and Patna on 10-Apr, 17.",No data available for this date and city.
"Which city had the highest NOx level on 09-Jun, 17?",The highest NOx level on 09-Jun-17 was in Bengaluru at 17.79.
"Which city had the highest NO level on 20-Nov, 17?",The highest NO level on 20-Nov-17 was in Bengaluru at 10.9.
"Which city had the highest PM10 level on 25-Feb, 18?",The highest PM10 level on 25-Feb-18 was in Jaipur at 132.12.
"Compare PM10 levels between Bengaluru and Gurugram on 24-Dec, 17.",No data available for this date and city.
"Thiruvananthapuram, PM10, 07-Sep, 19",The PM10 level in Thiruvananthapuram on 07-Sep-19 was 27.82.
"Compare PM10 levels between Chandigarh and Bengaluru on 13-Mar, 20.",No data available for this date and city.
"Compare PM2.5 levels between Ernakulam and Kolkata on 19-Feb, 18.",No data available for this date and city.
"Where was the SO2 level highest on 13-May, 15?",The highest SO2 level on 13-May-15 was in Chennai at 10.63.
"Compare NO2 levels between Aizawl and Kochi on 10-Aug, 17.",No data available for this date and city.
"Where was the NO level highest on 10-May, 16?",The highest NO level on 10-May-16 was in Hyderabad at 8.8.
"Compare NH3 levels between Shillong and Ahmedabad on 12-Apr, 16.",No data available for this date and city.
"Which city had the highest NO2 level on 25-Oct, 19?",The highest NO2 level on 25-Oct-19 was in Lucknow at 38.17.
"Where was the SO2 level highest on 16-Nov, 18?",The highest SO2 level on 16-Nov-18 was in Hyderabad at 14.26.
"Which city had the highest NH3 level on 07-Jan, 16?",The highest NH3 level on 07-Jan-16 was in Mumbai at 11.86.
"Visakhapatnam, NO2, 09-Jul, 15",No data available for this date and city.
"Where was the PM2.5 level highest on 04-Jun, 20?",The highest PM2.5 level on 04-Jun-20 was in Delhi at 68.24.
"Where was the PM10 level highest on 15-Apr, 20?",The highest PM10 level on 15-Apr-20 was in Delhi at 190.98.
"Compare NOx levels between Bhopal and Brajrajnagar on 23-Apr, 15.",No data available for this date and city.
"Where was the NO level highest on 27-Dec, 15?",The highest NO level on 27-Dec-15 was in Bengaluru at 16.45.
"Where was the PM2.5 level highest on 20-Nov, 17?",The highest PM2.5 level on 20-Nov-17 was in Jaipur at 70.12.
"Which city had the highest NO level on 19-May, 15?",The highest NO level on 19-May-15 was in Hyderabad at 18.64.
"Visakhapatnam, NH3, 31-Aug, 15",No data available for this date and city.
"Compare NOx levels between Amaravati and Gurugram on 09-Mar, 16.",No data available for this date and city.
"Where was the SO2 level highest on 26-Feb, 16?",The highest SO2 level on 26-Feb-16 was in Mumbai at 7.36.
"Compare NO2 levels between Ernakulam and Gurugram on 02-Feb, 15.",No data available for this date and city.
"Ernakulam, PM2.5, 13-Jun, 17",No data available for this date and city.
"Which city had the highest NO2 level on 04-Jan, 18?",The highest NO2 level on 04-Jan-18 was in Amaravati at 53.79.
"Jorapokhar, SO2, 18-Jul, 17",The SO2 level in Jorapokhar on 18-Jul-17 was 18.17.
"Which city had the highest NO2 level on 13-Oct, 17?",The highest NO2 level on 13-Oct-17 was in Patna at 31.69.
"Jorapokhar, PM2.5, 29-Oct, 19",The PM2.5 level in Jorapokhar on 29-Oct-19 was 60.84.
"Mumbai, NH3, 20-Jun, 19",No data available for this date and city.
"Which city had the highest NO level on 02-Nov, 18?",The highest NO level on 02-Nov-18 was in Brajrajnagar at 22.93.
"Jaipur, SO2, 29-Mar, 18",The SO2 level in Jaipur on 29-Mar-18 was 10.16.
"Where was the NO2 level highest on 23-Oct, 17?",The highest NO2 level on 23-Oct-17 was in Bengaluru at 33.32.
"Which city had the highest NOx level on 28-Nov, 16?",The highest NOx level on 28-Nov-16 was in Chennai at 21.3.
"Which city had the highest NO level on 17-Oct, 18?",The highest NO level on 17-Oct-18 was in Amritsar at 14.24.
"Compare PM2.5 levels between Gurugram and Coimbatore on 13-Feb, 16.",The PM2.5 level in Gurugram on 13-Feb-16 was 36.43.
"Visakhapatnam, PM2.5, 08-Feb, 16",No data available for this date and city.
"Thiruvananthapuram, NO, 14-Apr, 20",The NO level in Thiruvananthapuram on 14-Apr-20 was 5.5.
"Visakhapatnam, NOx, 16-Aug, 19",The NOx level in Visakhapatnam on 16-Aug-19 was 17.2.
"Where was the NO2 level highest on 30-Apr, 20?",The highest NO2 level on 30-Apr-20 was in Coimbatore at 32.06.
"Compare NH3 levels between Ahmedabad and Bengaluru on 24-May, 19.",No data available for this date and city.
"Kochi, CO, 30-May, 16",No data available for this date and city.
"Compare NOx levels between Amaravati and Patna on 15-Sep, 15.",No data available for this date and city.
"Compare NO2 levels between Amaravati and Mumbai on 04-Oct, 18.",The NO2 level in Amaravati on 04-Oct-18 was 14.53.
"Where was the NO2 level highest on 14-Dec, 19?",The highest NO2 level on 14-Dec-19 was in Bhopal at 38.1.
"Which city had the highest NOx level on 13-Jun, 16?",The highest NOx level on 13-Jun-16 was in Patna at 30.06.
"Which city had the highest NOx level on 11-Dec, 15?",The highest NOx level on 11-Dec-15 was in Hyderabad at 19.29.
"Where was the NOx level highest on 10-Feb, 18?",The highest NOx level on 10-Feb-18 was in Hyderabad at 32.19.
"Shillong, CO, 03-Mar, 19",No data available for this date and city.
"Compare PM10 levels between Talcher and Lucknow on 23-Feb, 18.",No data available for this date and city.
"Compare NH3 levels between Bengaluru and Ahmedabad on 19-Jun, 15.",The NH3 level in Bengaluru on 19-Jun-15 was 8.08.
"Which city had the highest NO2 level on 08-Apr, 16?",The highest NO2 level on 08-Apr-16 was in Lucknow at 50.45.
"Which city had the highest NOx level on 10-May, 16?",The highest NOx level on 10-May-16 was in Mumbai at 37.73.
"Where was the PM10 level highest on 19-Jan, 17?",The highest PM10 level on 19-Jan-17 was in Hyderabad at 109.2.
"Which city had the highest CO level on 12-Feb, 15?",The highest CO level on 12-Feb-15 was in Bengaluru at 0.96.
"Compare NOx levels between Delhi and Jaipur on 23-Dec, 17.",No data available for this date and city.
"Brajrajnagar, NOx, 06-May, 19",The NOx level in Brajrajnagar on 06-May-19 was 17.79.
"Where was the PM2.5 level highest on 10-Jan, 15?",The highest PM2.5 level on 10-Jan-15 was in Mumbai at 36.43.
"Bhopal, NO, 24-Nov, 18",No data available for this date and city.
"Where was the CO level highest on 28-Dec, 15?",The highest CO level on 28-Dec-15 was in Bengaluru at 1.77.
"Compare CO levels between Jaipur and Brajrajnagar on 03-Aug, 15.",No data available for this date and city.
"Where was the SO2 level highest on 06-Nov, 15?",The highest SO2 level on 06-Nov-15 was in Hyderabad at 10.99.
"Which city had the highest SO2 level on 12-Jan, 20?",The highest SO2 level on 12-Jan-20 was in Amritsar at 17.99.
"Compare PM10 levels between Ernakulam and Coimbatore on 05-Jan, 17.",No data available for this date and city.
"Which city had the highest NO2 level on 07-Dec, 16?",The highest NO2 level on 07-Dec-16 was in Bengaluru at 44.74.
"Visakhapatnam, NO, 10-May, 19",The NO level in Visakhapatnam on 10-May-19 was 4.67.
"Compare SO2 levels between Ahmedabad and Lucknow on 08-Jan, 15.",No data available for this date and city.
"Where was the PM2.5 level highest on 27-May, 15?",The highest PM2.5 level on 27-May-15 was in Hyderabad at 60.5.
"Where was the PM10 level highest on 25-Nov, 18?",The highest PM10 level on 25-Nov-18 was in Hyderabad at 149.67.
"Where was the NH3 level highest on 04-Jun, 20?",The highest NH3 level on 04-Jun-20 was in Chennai at 42.17.
"Which city had the highest SO2 level on 25-Mar, 15?",The highest SO2 level on 25-Mar-15 was in Hyderabad at 7.92.
"Where was the NH3 level highest on 11-Mar, 17?",The highest NH3 level on 11-Mar-17 was in Bengaluru at 28.2.
"Where was the PM2.5 level highest on 03-Dec, 17?",The highest PM2.5 level on 03-Dec-17 was in Amaravati at 87.14.
"Which city had the highest PM10 level on 24-Dec, 15?",The highest PM10 level on 24-Dec-15 was in Hyderabad at 108.11.
"Where was the PM10 level highest on 04-Jul, 19?",The highest PM10 level on 04-Jul-19 was in Visakhapatnam at 139.81.
"Ahmedabad, NO, 04-Jun, 15",No data available for this date and city.
"Mumbai, CO, 23-Nov, 19",No data available for this date and city.
"Where was the SO2 level highest on 31-Dec, 17?",The highest SO2 level on 31-Dec-17 was in Jaipur at 12.93.
"Jorapokhar, NO, 12-Apr, 20",No data available for this date and city.
"Which city had the highest NOx level on 25-Oct, 18?",The highest NOx level on 25-Oct-18 was in Bengaluru at 45.09.
"Where was the PM10 level highest on 27-Aug, 17?",The highest PM10 level on 27-Aug-17 was in Jaipur at 105.38.
"Brajrajnagar, NH3, 12-Aug, 19",No data available for this date and city.
"Which city had the highest PM2.5 level on 26-Dec, 16?",The highest PM2.5 level on 26-Dec-16 was in Visakhapatnam at 78.21.
"Which city had the highest CO level on 22-Oct, 19?",The highest CO level on 22-Oct-19 was in Coimbatore at 1.74.
"Delhi, NOx, 13-May, 19",No data available for this date and city.
"Which city had the highest PM10 level on 29-Jun, 20?",The highest PM10 level on 29-Jun-20 was in Delhi at 184.12.
"Where was the NOx level highest on 19-Aug, 19?",The highest NOx level on 19-Aug-19 was in Jaipur at 34.22.
"Lucknow, NO2, 18-Oct, 16",No data available for this date and city.
"Which city had the highest CO level on 01-Dec, 15?",The highest CO level on 01-Dec-15 was in Bengaluru at 1.63.
"Delhi, NO, 26-Sep, 18",No data available for this date and city.
"Where was the NO2 level highest on 20-Jun, 18?",The highest NO2 level on 20-Jun-18 was in Visakhapatnam at 46.23.
"Chandigarh, NO2, 26-May, 19",No data available for this date and city.
"Which city had the highest CO level on 04-Mar, 18?",The highest CO level on 04-Mar-18 was in Gurugram at 1.16.
"Kolkata, NH3, 24-Oct, 16",No data available for this date and city.
"Which city had the highest PM10 level on 21-Sep, 17?",The highest PM10 level on 21-Sep-17 was in Bengaluru at 80.51.
"Which city had the highest NH3 level on 20-May, 19?",The highest NH3 level on 20-May-19 was in Jaipur at 22.51.
"Shillong, NO2, 16-Oct, 19",The NO2 level in Shillong on 16-Oct-19 was 3.57.
"Chennai, PM2.5, 13-Oct, 19",The PM2.5 level in Chennai on 13-Oct-19 was 14.93.
"Shillong, NO, 07-Aug, 16",No data available for this date and city.
"Where was the PM10 level highest on 10-Jun, 20?",The highest PM10 level on 10-Jun-20 was in Delhi at 156.29.
"Lucknow, NO2, 15-May, 18",No data available for this date and city.
"Mumbai, CO, 27-Apr, 16",The CO level in Mumbai on 27-Apr-16 was 0.71.
"Which city had the highest NO2 level on 18-Oct, 15?",The highest NO2 level on 18-Oct-15 was in Chennai at 13.58.
"Which city had the highest PM2.5 level on 17-Mar, 17?",The highest PM2.5 level on 17-Mar-17 was in Lucknow at 105.21.
"Where was the NOx level highest on 02-May, 18?",The highest NOx level on 02-May-18 was in Delhi at 42.86.
"Where was the NO level highest on 02-Mar, 18?",The highest NO level on 02-Mar-18 was in Gurugram at 16.01.
"Which city had the highest PM2.5 level on 01-May, 15?",The highest PM2.5 level on 01-May-15 was in Bengaluru at 39.06.
"Compare CO levels between Mumbai and Guwahati on 18-Feb, 15.",The CO level in Mumbai on 18-Feb-15 was 0.71.
"Which city had the highest NH3 level on 21-Nov, 15?",The highest NH3 level on 21-Nov-15 was in Bengaluru at 21.28.
"Ernakulam, NO, 16-Oct, 17",No data available for this date and city.
"Where was the PM2.5 level highest on 01-Feb, 18?",The highest PM2.5 level on 01-Feb-18 was in Thiruvananthapuram at 75.74.
"Which city had the highest PM2.5 level on 17-Jul, 17?",The highest PM2.5 level on 17-Jul-17 was in Amritsar at 49.41.
"Compare NO2 levels between Thiruvananthapuram and Ahmedabad on 01-Feb, 16.",No data available for this date and city.
"Compare NO levels between Chennai and Guwahati on 07-Apr, 18.",The NO level in Chennai on 07-Apr-18 was 15.42.
"Where was the NOx level highest on 28-Jun, 16?",The highest NOx level on 28-Jun-16 was in Patna at 34.99.
"Compare NH3 levels between Jorapokhar and Shillong on 06-Oct, 16.",No data available for this date and city.
"Compare NH3 levels between Ernakulam and Chennai on 03-Oct, 19.",No data available for this date and city.
"Jaipur, CO, 22-Nov, 15",No data available for this date and city.
"Delhi, SO2, 25-Apr, 17",No data available for this date and city.
"Compare SO2 levels between Bhopal and Jorapokhar on 08-Nov, 19.","On 08-Nov-19, SO2 level was 11.62 in Bhopal and 6.06 in Jorapokhar."
"Where was the NH3 level highest on 23-Jul, 19?",The highest NH3 level on 23-Jul-19 was in Chennai at 38.2.
"Compare PM10 levels between Chennai and Brajrajnagar on 13-Jun, 16.",No data available for this date and city.
"Where was the NO2 level highest on 21-Aug, 15?",The highest NO2 level on 21-Aug-15 was in Mumbai at 19.16.
"Compare NO2 levels between Lucknow and Bengaluru on 04-Feb, 15.",No data available for this date and city.
"Jaipur, NOx, 18-Jun, 20",The NOx level in Jaipur on 18-Jun-20 was 21.0.
"Which city had the highest NO level on 30-Mar, 20?",The highest NO level on 30-Mar-20 was in Amritsar at 17.8.
"Where was the SO2 level highest on 12-May, 19?",The highest SO2 level on 12-May-19 was in Guwahati at 19.81.
"Where was the CO level highest on 06-Oct, 16?",The highest CO level on 06-Oct-16 was in Lucknow at 1.63.
"Where was the CO level highest on 08-Sep, 18?",The highest CO level on 08-Sep-18 was in Amaravati at 1.54.
"Where was the NH3 level highest on 07-Mar, 19?",The highest NH3 level on 07-Mar-19 was in Jaipur at 29.52.
"Compare NO2 levels between Bengaluru and Kolkata on 14-Aug, 16.",No data available for this date and city.
"Where was the CO level highest on 31-May, 16?",The highest CO level on 31-May-16 was in Patna at 1.59.
"Where was the PM2.5 level highest on 31-Jul, 18?",The highest PM2.5 level on 31-Jul-18 was in Gurugram at 67.55.
"Compare NO levels between Guwahati and Kolkata on 20-Sep, 17.",No data available for this date and city.
"Compare NOx levels between Jorapokhar and Bhopal on 22-Jan, 16.",No data available for this date and city.
"Which city had the highest NH3 level on 26-Sep, 17?",The highest NH3 level on 26-Sep-17 was in Delhi at 34.54.
"Compare PM10 levels between Shillong and Thiruvananthapuram on 02-Sep, 17.",No data available for this date and city.
"Compare NOx levels between Bengaluru and Delhi on 13-Feb, 19.",The NOx level in Bengaluru on 13-Feb-19 was 30.98.
"Compare PM2.5 levels between Jorapokhar and Delhi on 12-Aug, 16.",No data available for this date and city.
"Which city had the highest NH3 level on 03-Jan, 18?",The highest NH3 level on 03-Jan-18 was in Amaravati at 25.61.
"Where was the SO2 level highest on 13-Jan, 15?",The highest SO2 level on 13-Jan-15 was in Mumbai at 7.36.
"Compare SO2 levels between Ernakulam and Lucknow on 21-Jan, 18.",No data available for this date and city.
"Compare NO2 levels between Kolkata and Visakhapatnam on 01-Apr, 20.","On 01-Apr-20, NO2 level was 12.41 in Kolkata and 33.1 in Visakhapatnam."
"Coimbatore, NO, 03-Sep, 17",No data available for this date and city.
"Compare NO levels between Kolkata and Aizawl on 14-Oct, 17.",No data available for this date and city.
"Patna, NH3, 20-Dec, 18",No data available for this date and city.
"Bengaluru, NOx, 21-Apr, 20",The NOx level in Bengaluru on 21-Apr-20 was 13.46.
"Which city had the highest NO level on 09-Dec, 15?",The highest NO level on 09-Dec-15 was in Gurugram at 11.96.
"Compare NO levels between Kochi and Shillong on 10-Jun, 15.",No data available for this date and city.
"Which city had the highest PM10 level on 25-Nov, 18?",The highest PM10 level on 25-Nov-18 was in Hyderabad at 149.67.
"Mumbai, PM2.5, 10-Feb, 19",No data available for this date and city.
"Where was the NO2 level highest on 19-May, 19?",The highest NO2 level on 19-May-19 was in Delhi at 45.8.
"Which city had the highest PM10 level on 26-Jun, 17?",The highest PM10 level on 26-Jun-17 was in Amritsar at 105.7.
"Which city had the highest NO level on 15-Jul, 16?",The highest NO level on 15-Jul-16 was in Patna at 13.14.
"Which city had the highest NH3 level on 30-Oct, 17?",The highest NH3 level on 30-Oct-17 was in Bengaluru at 26.61.
"Compare NH3 levels between Gurugram and Delhi on 29-Jun, 15.",No data available for this date and city.
"Compare NO2 levels between Kolkata and Jorapokhar on 08-May, 16.",No data available for this date and city.
"Ernakulam, NH3, 15-Jan, 17",No data available for this date and city.
"Where was the SO2 level highest on 25-Nov, 16?",The highest SO2 level on 25-Nov-16 was in Chennai at 8.1.
"Where was the CO level highest on 22-Mar, 19?",The highest CO level on 22-Mar-19 was in Lucknow at 1.22.
"Which city had the highest SO2 level on 27-May, 16?",The highest SO2 level on 27-May-16 was in Mumbai at 7.36.
"Where was the NH3 level highest on 09-Mar, 15?",The highest NH3 level on 09-Mar-15 was in Mumbai at 11.86.
"Which city had the highest PM2.5 level on 23-Oct, 16?",The highest PM2.5 level on 23-Oct-16 was in Chennai at 87.04.
"Talcher, NH3, 20-Mar, 20",No data available for this date and city.
"Where was the NH3 level highest on 04-Sep, 15?",The highest NH3 level on 04-Sep-15 was in Bengaluru at 37.51.
"Where was the NH3 level highest on 22-Jun, 19?",The highest NH3 level on 22-Jun-19 was in Delhi at 32.1.
"Which city had the highest SO2 level on 14-Nov, 15?",The highest SO2 level on 14-Nov-15 was in Hyderabad at 13.89.
"Where was the SO2 level highest on 04-Jan, 16?",The highest SO2 level on 04-Jan-16 was in Mumbai at 7.36.
"Compare NO2 levels between Kolkata and Bhopal on 08-Dec, 18.",No data available for this date and city.
"Compare NH3 levels between Mumbai and Bengaluru on 09-Dec, 17.",The NH3 level in Mumbai on 09-Dec-17 was 11.86.
"Where was the CO level highest on 06-Mar, 15?",The highest CO level on 06-Mar-15 was in Mumbai at 0.71.
"Where was the PM10 level highest on 16-Jun, 18?",The highest PM10 level on 16-Jun-18 was in Jaipur at 158.06.
"Which city had the highest CO level on 04-Aug, 16?",The highest CO level on 04-Aug-16 was in Lucknow at 1.1.
"Where was the NO level highest on 13-Apr, 18?",The highest NO level on 13-Apr-18 was in Visakhapatnam at 13.24.
"Which city had the highest SO2 level on 25-Mar, 20?",The highest SO2 level on 25-Mar-20 was in Amaravati at 18.95.
"Where was the PM10 level highest on 06-Jun, 15?",The highest PM10 level on 06-Jun-15 was in Mumbai at 58.88.
"Where was the PM10 level highest on 01-Mar, 20?",The highest PM10 level on 01-Mar-20 was in Brajrajnagar at 128.97.
"Compare NOx levels between Talcher and Kochi on 20-Sep, 16.",No data available for this date and city.
"Shillong, NH3, 09-Dec, 19",The NH3 level in Shillong on 09-Dec-19 was 1.89.
"Mumbai, NO2, 29-Apr, 16",The NO2 level in Mumbai on 29-Apr-16 was 19.16.
"Which city had the highest SO2 level on 06-May, 18?",The highest SO2 level on 06-May-18 was in Visakhapatnam at 11.51.
"Where was the SO2 level highest on 30-May, 16?",The highest SO2 level on 30-May-16 was in Mumbai at 7.36.
"Visakhapatnam, NO2, 25-Jan, 19",No data available for this date and city.
"Where was the NO level highest on 11-May, 19?",The highest NO level on 11-May-19 was in Jaipur at 11.48.
"Chennai, CO, 12-Mar, 19",No data available for this date and city.
"Compare NO2 levels between Kolkata and Lucknow on 02-Apr, 19.",The NO2 level in Kolkata on 02-Apr-19 was 35.26.
"Where was the NO level highest on 18-Aug, 15?",The highest NO level on 18-Aug-15 was in Patna at 13.91.
"Ahmedabad, NO, 18-Jun, 19",No data available for this date and city.
"Jaipur, NOx, 30-Sep, 15",No data available for this date and city.
"Which city had the highest SO2 level on 24-Apr, 19?",The highest SO2 level on 24-Apr-19 was in Amaravati at 12.66.
"Which city had the highest NO2 level on 01-Jun, 16?",The highest NO2 level on 01-Jun-16 was in Hyderabad at 22.05.
"Where was the PM2.5 level highest on 17-Jul, 18?",The highest PM2.5 level on 17-Jul-18 was in Gurugram at 56.42.
"Jorapokhar, CO, 26-Feb, 15",No data available for this date and city.
"Which city had the highest CO level on 06-Jul, 17?",The highest CO level on 06-Jul-17 was in Lucknow at 1.26.
"Compare CO levels between Chennai and Mumbai on 30-Jun, 19.","On 30-Jun-19, CO level was 0.84 in Chennai and 0.53 in Mumbai."
"Bhopal, CO, 03-Oct, 16",No data available for this date and city.
"Where was the SO2 level highest on 02-Jan, 15?",The highest SO2 level on 02-Jan-15 was in Chennai at 8.61.
"Shillong, CO, 24-May, 17",No data available for this date and city.
"Delhi, PM2.5, 12-Aug, 15",No data available for this date and city.
"Ernakulam, PM2.5, 17-Jan, 17",No data available for this date and city.
"Which city had the highest NO level on 04-Dec, 17?",The highest NO level on 04-Dec-17 was in Bengaluru at 13.35.
"Compare NO2 levels between Bengaluru and Brajrajnagar on 06-Mar, 19.",No data available for this date and city.
"Jaipur, NOx, 14-Sep, 19",The NOx level in Jaipur on 14-Sep-19 was 19.23.
"Where was the NOx level highest on 01-Nov, 18?",The highest NOx level on 01-Nov-18 was in Bengaluru at 37.49.
"Which city had the highest NOx level on 30-Apr, 16?",The highest NOx level on 30-Apr-16 was in Mumbai at 36.67.
"Compare NH3 levels between Talcher and Guwahati on 28-May, 17.",No data available for this date and city.
"Aizawl, NO2, 23-Apr, 16",No data available for this date and city.
"Which city had the highest NO level on 04-Apr, 16?",The highest NO level on 04-Apr-16 was in Lucknow at 10.97.
"Which city had the highest NO2 level on 14-Feb, 20?",The highest NO2 level on 14-Feb-20 was in Visakhapatnam at 49.67.
"Kolkata, NH3, 11-Sep, 17",No data available for this date and city.
"Which city had the highest PM10 level on 27-Jan, 16?",The highest PM10 level on 27-Jan-16 was in Hyderabad at 94.48.
"Where was the CO level highest on 31-Jan, 20?",The highest CO level on 31-Jan-20 was in Gurugram at 1.42.
"Which city had the highest SO2 level on 18-Feb, 17?",The highest SO2 level on 18-Feb-17 was in Gurugram at 5.39.
"Compare CO levels between Aizawl and Bhopal on 10-May, 16.",No data available for this date and city.
"Compare NO2 levels between Talcher and Hyderabad on 27-Sep, 16.",No data available for this date and city.
"Ahmedabad, NO2, 26-Jul, 18",No data available for this date and city.
"Gurugram, PM2.5, 01-Oct, 18",No data available for this date and city.
"Where was the NO level highest on 24-Apr, 18?",The highest NO level on 24-Apr-18 was in Chennai at 15.66.
"Which city had the highest NO2 level on 28-May, 15?",The highest NO2 level on 28-May-15 was in Bengaluru at 41.16.
"Jorapokhar, NOx, 17-Mar, 20",No data available for this date and city.
"Where was the SO2 level highest on 10-Sep, 15?",The highest SO2 level on 10-Sep-15 was in Lucknow at 10.45.
"Where was the NOx level highest on 16-Dec, 17?",The highest NOx level on 16-Dec-17 was in Mumbai at 33.31.
"Which city had the highest NO level on 11-Sep, 15?",The highest NO level on 11-Sep-15 was in Chennai at 10.3.
"Thiruvananthapuram, NOx, 10-Feb, 20",The NOx level in Thiruvananthapuram on 10-Feb-20 was 19.62.
"Compare NO2 levels between Delhi and Aizawl on 12-Dec, 15.",No data available for this date and city.
"Which city had the highest SO2 level on 27-Oct, 19?",The highest SO2 level on 27-Oct-19 was in Amaravati at 14.66.
"Where was the NH3 level highest on 09-Apr, 15?",The highest NH3 level on 09-Apr-15 was in Mumbai at 11.86.
"Which city had the highest PM2.5 level on 16-Jul, 15?",The highest PM2.5 level on 16-Jul-15 was in Ahmedabad at 65.37.
"Where was the NO level highest on 07-Jan, 18?",The highest NO level on 07-Jan-18 was in Hyderabad at 8.91.
"Which city had the highest NH3 level on 28-Mar, 19?",The highest NH3 level on 28-Mar-19 was in Amritsar at 25.56.
"Where was the CO level highest on 23-Oct, 17?",The highest CO level on 23-Oct-17 was in Bengaluru at 1.08.
"Which city had the highest PM10 level on 20-Mar, 20?",The highest PM10 level on 20-Mar-20 was in Bhopal at 115.47.
"Where was the NH3 level highest on 16-Feb, 19?",The highest NH3 level on 16-Feb-19 was in Lucknow at 34.32.
"Compare SO2 levels between Jaipur and Hyderabad on 24-Nov, 16.",No data available for this date and city.
"Which city had the highest PM10 level on 13-Apr, 16?",The highest PM10 level on 13-Apr-16 was in Bengaluru at 159.45.
"Delhi, NOx, 28-Dec, 17",No data available for this date and city.
"Where was the NOx level highest on 13-Aug, 18?",The highest NOx level on 13-Aug-18 was in Kolkata at 39.0.
"Compare NO levels between Chennai and Mumbai on 10-Jan, 17.",No data available for this date and city.
"Talcher, NOx, 23-Nov, 19",No data available for this date and city.
"Compare CO levels between Bengaluru and Kolkata on 01-Jun, 18.","On 01-Jun-18, CO level was 0.99 in Bengaluru and 0.71 in Kolkata."
"Which city had the highest NO2 level on 03-Jun, 19?",The highest NO2 level on 03-Jun-19 was in Visakhapatnam at 44.6.
"Compare NO2 levels between Patna and Jaipur on 10-Aug, 15.",No data available for this date and city.
"Compare NOx levels between Amaravati and Shillong on 06-Sep, 16.",No data available for this date and city.
"Lucknow, NH3, 07-Jul, 15",No data available for this date and city.
"Which city had the highest PM2.5 level on 11-Aug, 19?",The highest PM2.5 level on 11-Aug-19 was in Lucknow at 36.43.
"Where was the NO2 level highest on 24-Feb, 19?",The highest NO2 level on 24-Feb-19 was in Bengaluru at 47.01.
"Where was the CO level highest on 17-Oct, 19?",The highest CO level on 17-Oct-19 was in Coimbatore at 1.99.
"Kochi, NH3, 13-Nov, 17",No data available for this date and city.
"Which city had the highest CO level on 17-Jun, 20?",The highest CO level on 17-Jun-20 was in Kochi at 1.74.
"Chennai, SO2, 22-Apr, 15",The SO2 level in Chennai on 22-Apr-15 was 6.3.
"Compare NO levels between Patna and Shillong on 05-Feb, 16.",No data available for this date and city.
"Where was the PM10 level highest on 22-Apr, 17?",The highest PM10 level on 22-Apr-17 was in Hyderabad at 173.04.
"Amritsar, PM10, 25-Dec, 18",The PM10 level in Amritsar on 25-Dec-18 was 152.5.
"Jorapokhar, SO2, 13-Aug, 16",No data available for this date and city.
"Chandigarh, PM10, 20-Aug, 17",No data available for this date and city.
